epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,176.867,0.47288,2.17817,0.89567,0.9041,0.9316,0.94797,0.70204,0.69152,3.24368,1.06208,0.00230583,0.00230583,0.00230583
162,177.955,0.5148,2.38335,0.90532,0.89509,0.92721,0.95109,0.72352,0.68299,3.1299,1.06438,0.00229788,0.00229788,0.00229788
163,179.045,0.48564,2.30903,0.90738,0.95661,0.85514,0.9525,0.74241,0.67173,3.13306,1.05181,0.0022899,0.0022899,0.0022899
164,180.204,0.48217,2.33969,0.91561,0.98303,0.89215,0.959,0.74336,0.65177,3.15079,1.03956,0.00228189,0.00228189,0.00228189
165,181.287,0.48374,2.2999,0.91135,0.92521,0.89521,0.95984,0.7109,0.68716,3.38769,1.07254,0.00227384,0.00227384,0.00227384
166,182.354,0.51151,2.35528,0.95841,0.92521,0.89521,0.95984,0.7109,0.68716,3.38769,1.07254,0.00226577,0.00226577,0.00226577
167,183.452,0.49192,2.22304,0.91187,1,0.90396,0.96359,0.69925,0.72526,3.36691,1.12024,0.00225767,0.00225767,0.00225767
168,184.557,0.46181,2.18672,0.88293,0.988,0.88759,0.96495,0.71695,0.7022,3.35214,1.10751,0.00224954,0.00224954,0.00224954
169,185.649,0.45423,2.26901,0.88099,0.9964,0.90909,0.96495,0.73919,0.67845,3.31149,1.10698,0.00224137,0.00224137,0.00224137
170,186.735,0.50082,2.17871,0.90794,0.93257,0.90909,0.95984,0.7438,0.66649,3.1152,1.14464,0.00223318,0.00223318,0.00223318
171,187.812,0.48813,2.17742,0.90099,0.93343,0.90451,0.9612,0.73005,0.68624,3.12536,1.17194,0.00222496,0.00222496,0.00222496
172,188.902,0.47521,2.15568,0.92035,0.99871,0.86264,0.9612,0.71851,0.6898,3.70927,1.13781,0.00221671,0.00221671,0.00221671
173,190.053,0.47741,2.24642,0.89854,0.97558,0.85725,0.95525,0.70625,0.71209,3.55288,1.13397,0.00220844,0.00220844,0.00220844
174,191.121,0.48566,2.24826,0.91389,0.97558,0.85725,0.95525,0.70625,0.71209,3.55288,1.13397,0.00220013,0.00220013,0.00220013
